ID,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Class16,Class17,Class18,Class19,Class20,Class21,Class22,Class23,Class24,Class25,Class26,Class27,Class28,Class29,Class30,Class31,Class32,Class33,Class34,Class35,Class36,Class37,Class38,Class39,Class40,Class41,Class42,Class43,Class44,Class45,Class46,Class47,Class48,Class49,Class50
1,0.0464138,0.0052071,0.0079285,0.0097196,0.0005792,0.0131495,0.0079067,0.0090080,0.0724918,0.0023532,0.0150057,0.0020569,0.0046229,0.0061805,0.0130814,0.0108758,0.0030288,0.0017676,0.0044370,0.0146901,0.0008336,0.0053645,0.0949834,0.0053528,0.0038063,0.0027923,0.0044828,0.2356107,0.0051896,0.0167402,0.0061036,0.0041462,0.0053148,0.0158313,0.0111918,0.0109441,0.0051800,0.0028545,0.0115387,0.0053357,0.0591116,0.1381978,0.0201553,0.0182637,0.0082335,0.0213923,0.0031555,0.0117301,0.0151975,0.0004619
2,0.0034403,0.0010012,0.0004358,0.0100552,0.0196020,0.8293719,0.0015917,0.0015920,0.0011406,0.0039878,0.0011818,0.0005933,0.0002905,0.0045100,0.0001263,0.0018620,0.0002424,0.0059859,0.0001566,0.0018051,0.0005941,0.0025595,0.0008695,0.0010918,0.0127799,0.0002455,0.0003174,0.0011719,0.0002522,0.0043932,0.0009345,0.0005270,0.0014467,0.0004724,0.0004418,0.0017111,0.0142742,0.0010590,0.0012049,0.0217387,0.0109937,0.0011766,0.0004272,0.0003894,0.0013445,0.0003425,0.0007942,0.0263491,0.0009266,0.0001985
3,0.0008530,0.0127443,0.0013953,0.0016769,0.0004024,0.0003996,0.0006392,0.0009394,0.0007595,0.0005196,0.0008147,0.0004751,0.9419972,0.0008329,0.0009200,0.0051422,0.0014606,0.0018559,0.0005023,0.0003402,0.0036326,0.0003992,0.0008287,0.0006363,0.0003473,0.0008999,0.0015456,0.0002478,0.0006474,0.0002525,0.0009037,0.0013092,0.0006093,0.0004344,0.0006420,0.0003444,0.0019753,0.0006882,0.0014591,0.0003246,0.0005062,0.0001205,0.0006474,0.0009132,0.0005906,0.0003928,0.0011897,0.0006928,0.0013946,0.0007543
4,0.0470385,0.4424875,0.0035985,0.0028898,0.0001460,0.0137637,0.0041530,0.0089304,0.0049448,0.0061837,0.0069151,0.0028600,0.0115975,0.0073341,0.0077502,0.1645113,0.0060394,0.0145750,0.0038196,0.0038089,0.0029418,0.0514532,0.0057227,0.0266622,0.0096697,0.0115173,0.0012012,0.0039124,0.0060383,0.0081341,0.0027259,0.0007615,0.0033923,0.0141737,0.0019640,0.0060158,0.0030473,0.0104641,0.0016528,0.0029572,0.0092931,0.0038534,0.0099285,0.0033399,0.0020515,0.0015577,0.0073855,0.0110295,0.0016318,0.0121745
5,0.0063078,0.0044063,0.0032256,0.0141821,0.0043571,0.0012446,0.0053144,0.0080076,0.0047948,0.0083817,0.0033601,0.0183004,0.0047316,0.0029443,0.0044380,0.0029277,0.0046177,0.0102545,0.0069668,0.0044734,0.0013452,0.0008304,0.0032300,0.0028082,0.0033742,0.0071525,0.0091794,0.0011214,0.0015217,0.0017454,0.0113961,0.0043432,0.6198053,0.0064324,0.0041068,0.0064133,0.0026150,0.0091038,0.0027613,0.0087878,0.0671779,0.0012321,0.0030916,0.0005938,0.0420922,0.0075164,0.0108566,0.0162920,0.0073558,0.0124817
6,0.0000031,0.0000101,0.0000146,0.0000039,0.0000129,0.0000193,0.0000020,0.0000031,0.0000013,0.0000165,0.0000052,0.0000074,0.0000017,0.0000053,0.0000020,0.0000035,0.0000032,0.0000025,0.0000093,0.0000020,0.0000014,0.0000015,0.9991804,0.0000107,0.0000046,0.0000129,0.0000015,0.0000071,0.0000113,0.0000046,0.0000078,0.0000055,0.0000034,0.0000034,0.0000027,0.0000044,0.0000089,0.0000065,0.0000031,0.0000039,0.0000117,0.0000019,0.0000028,0.0000019,0.0000077,0.0000036,0.0000019,0.0000015,0.0005481,0.0000043
7,0.3963327,0.0147001,0.0007720,0.0010844,0.0034366,0.0020212,0.0082664,0.0099986,0.0009002,0.0012350,0.0101650,0.0050843,0.0029500,0.0011534,0.0004134,0.0139408,0.0101730,0.0081411,0.0015317,0.0054343,0.0029024,0.0041185,0.0004359,0.0017751,0.0026987,0.0348421,0.0055381,0.0008151,0.3412813,0.0063805,0.0178942,0.0010206,0.0023058,0.0078456,0.0037921,0.0016233,0.0084431,0.0027122,0.0021430,0.0038424,0.0036346,0.0020517,0.0005265,0.0023885,0.0004589,0.0021563,0.0042637,0.0082458,0.0213903,0.0047397
8,0.0049665,0.0045853,0.3634630,0.0872496,0.1932593,0.0016154,0.0012374,0.0019330,0.0052340,0.0006423,0.0006998,0.0206879,0.0018581,0.0011053,0.0044440,0.0009206,0.0016352,0.0019581,0.0113896,0.0053044,0.0052684,0.0040407,0.0657953,0.0044570,0.0013934,0.0016011,0.0241799,0.0020852,0.0085812,0.0042169,0.0082320,0.0032932,0.0305088,0.0050699,0.0032532,0.0051808,0.0040628,0.0024410,0.0479326,0.0027531,0.0083341,0.0110075,0.0039268,0.0050999,0.0021966,0.0031786,0.0015656,0.0088338,0.0049169,0.0024046
9,0.0022551,0.0004674,0.0009381,0.0006391,0.0004847,0.0059533,0.0027151,0.0007947,0.0005198,0.0011298,0.0005804,0.0003883,0.0004968,0.0014695,0.0013494,0.0004441,0.0001474,0.0035781,0.0009175,0.0005546,0.0007831,0.0006726,0.0019252,0.0004135,0.0009465,0.0006540,0.0008237,0.0007730,0.0010852,0.0008342,0.0012700,0.0177528,0.0006740,0.0003961,0.0011547,0.0002006,0.0026814,0.0028445,0.0015826,0.0027141,0.0031163,0.0010937,0.0104205,0.0015912,0.0005810,0.0014991,0.0017460,0.9130227,0.0006227,0.0003019
10,0.0001270,0.0009761,0.0002447,0.0002655,0.0010185,0.0002230,0.0013072,0.0009344,0.0001427,0.0002082,0.0002388,0.0001832,0.0003270,0.0002691,0.0017616,0.0001388,0.1343717,0.0001814,0.0110780,0.0004978,0.0000476,0.0002691,0.0003620,0.0003601,0.0006964,0.0001956,0.0000960,0.0018666,0.0009077,0.0002881,0.0002686,0.0001176,0.0001666,0.0001681,0.0004899,0.0009080,0.0000730,0.0003513,0.0003774,0.2895277,0.0002294,0.0005041,0.0005051,0.0006253,0.0002932,0.0005495,0.0001636,0.0002437,0.5446608,0.0001929
11,0.0081532,0.0038552,0.0097214,0.0045108,0.0074743,0.0014354,0.0287039,0.0079070,0.0085320,0.0199761,0.0074460,0.0117305,0.0120407,0.0682028,0.0422244,0.0068123,0.0066194,0.0106995,0.0090386,0.0287540,0.0212360,0.0879611,0.0306059,0.0086778,0.0087502,0.0082234,0.0133595,0.0480894,0.0552505,0.0103906,0.0309723,0.0116708,0.0045368,0.0036745,0.0283665,0.0397051,0.0040291,0.0171787,0.0107611,0.0120589,0.0047159,0.0076428,0.0099686,0.0406878,0.0139532,0.0061852,0.0326262,0.0375473,0.0165240,0.0708135
12,0.0000374,0.0000599,0.0000975,0.0000308,0.0000417,0.0000244,0.0000902,0.0000238,0.0000184,0.0000231,0.0000644,0.0000282,0.0000215,0.0000321,0.0000643,0.0000234,0.0000537,0.0000252,0.0000186,0.0000317,0.0000153,0.0000072,0.0000154,0.0000058,0.0000212,0.0000267,0.9897336,0.0000375,0.0001384,0.0000251,0.0000590,0.0000382,0.0001359,0.0000685,0.0000404,0.0073328,0.0000246,0.0000739,0.0000359,0.0000289,0.0000754,0.0000248,0.0000093,0.0001586,0.0006612,0.0001240,0.0000699,0.0000458,0.0001333,0.0000232
