ID,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Class16,Class17,Class18,Class19,Class20,Class21,Class22,Class23,Class24,Class25,Class26,Class27,Class28,Class29,Class30,Class31,Class32,Class33,Class34,Class35,Class36,Class37,Class38,Class39,Class40,Class41,Class42,Class43,Class44,Class45,Class46,Class47,Class48,Class49,Class50
1,0.0629140,0.0002863,0.0001924,0.0002363,0.0000151,0.0000913,0.0001991,0.0002591,0.0241315,0.0012471,0.0002406,0.0001829,0.0004331,0.0003056,0.0018259,0.0003757,0.0001168,0.0002911,0.0001712,0.0003328,0.0000162,0.0001297,0.0446599,0.0001606,0.0000138,0.0005683,0.0000173,0.0073742,0.0015626,0.0009903,0.0002948,0.0001882,0.0007207,0.0005724,0.0004116,0.0006193,0.0031882,0.0000634,0.0001314,0.0010225,0.6700406,0.1501144,0.0057339,0.0001451,0.0006588,0.0010363,0.0011347,0.0112560,0.0032225,0.0001046
2,0.0002920,0.0001651,0.0001184,0.0004136,0.0012550,0.9266597,0.0003111,0.0001243,0.0000993,0.0120785,0.0001869,0.0000305,0.0000120,0.0004217,0.0000042,0.0001146,0.0000051,0.0001377,0.0000201,0.0002617,0.0000620,0.0005601,0.0000285,0.0000201,0.0003603,0.0000388,0.0000042,0.0000382,0.0000078,0.0000837,0.0004770,0.0000391,0.0000602,0.0000194,0.0000407,0.0001683,0.0003615,0.0000274,0.0000224,0.0001628,0.0016061,0.0000018,0.0000033,0.0000384,0.0000691,0.0000366,0.0001377,0.0527870,0.0000055,0.0000206
3,0.0000042,0.0003323,0.0000039,0.0000008,0.0000092,0.0000005,0.0000042,0.0000031,0.0000026,0.0000059,0.0000013,0.0000005,0.9991377,0.0000122,0.0001186,0.0000539,0.0000046,0.0000019,0.0000051,0.0000014,0.0001326,0.0000017,0.0000070,0.0000058,0.0000012,0.0000168,0.0000107,0.0000010,0.0000009,0.0000001,0.0000188,0.0000455,0.0000033,0.0000112,0.0000008,0.0000067,0.0000060,0.0000005,0.0000026,0.0000029,0.0000005,0.0000002,0.0000009,0.0000052,0.0000016,0.0000029,0.0000033,0.0000026,0.0000013,0.0000016
4,0.0410216,0.3615172,0.0030048,0.0010742,0.0000020,0.0003969,0.0012740,0.0084607,0.0006297,0.0023678,0.0235377,0.0022388,0.0132659,0.0010726,0.0071317,0.1742994,0.0027577,0.0040137,0.0027020,0.0097123,0.0008125,0.0042277,0.0022453,0.0289892,0.0026666,0.0017635,0.0002359,0.0036593,0.0031569,0.0033505,0.0015453,0.0000237,0.0003419,0.0021345,0.0017734,0.0032487,0.0025178,0.0015506,0.0020057,0.0006783,0.0018619,0.0099010,0.0062807,0.0027758,0.0018504,0.0016970,0.0031631,0.2257736,0.0006375,0.0186509
5,0.0037528,0.0011133,0.0063805,0.0081570,0.0002021,0.0002257,0.0001545,0.0052506,0.0007828,0.0012745,0.0007358,0.0100574,0.0022520,0.0003586,0.0007546,0.0006358,0.0018518,0.0020697,0.0008793,0.0021393,0.0004572,0.0001633,0.0009674,0.0000470,0.0026067,0.0012324,0.0008591,0.0002905,0.0000457,0.0001568,0.0076918,0.0005341,0.8138582,0.0099365,0.0003839,0.0044705,0.0001313,0.0321277,0.0001019,0.0000297,0.0378149,0.0005438,0.0004174,0.0004995,0.0071342,0.0033429,0.0009642,0.0184744,0.0016408,0.0040480
6,0.0000000,0.0000017,0.0000003,0.0000007,0.0000010,0.0000000,0.0000007,0.0000002,0.0000001,0.0000007,0.0000021,0.0000008,0.0000005,0.0000008,0.0000005,0.0000002,0.0000002,0.0000038,0.0000005,0.0000004,0.0000001,0.0000000,0.9999479,0.0000017,0.0000000,0.0000002,0.0000007,0.0000013,0.0000004,0.0000002,0.0000002,0.0000001,0.0000002,0.0000019,0.0000001,0.0000007,0.0000044,0.0000004,0.0000021,0.0000001,0.0000009,0.0000008,0.0000000,0.0000003,0.0000003,0.0000004,0.0000011,0.0000003,0.0000177,0.0000003
7,0.2016921,0.0000384,0.0000096,0.0000540,0.0002103,0.0000606,0.0002454,0.0000617,0.0000200,0.0000620,0.0001211,0.0002630,0.0000458,0.0000115,0.0000525,0.0003093,0.0001128,0.0000572,0.0000286,0.0001719,0.0001056,0.0001519,0.0000777,0.0000800,0.0000563,0.0005008,0.0000186,0.0001113,0.7837306,0.0010944,0.0000345,0.0000887,0.0002123,0.0002509,0.0000334,0.0000139,0.0001367,0.0002495,0.0000124,0.0005423,0.0000323,0.0000392,0.0001237,0.0000771,0.0000147,0.0002890,0.0000560,0.0000575,0.0000937,0.0080869
8,0.0083815,0.0017665,0.3373909,0.0483175,0.0357278,0.0000037,0.0014441,0.0012039,0.0078035,0.0001718,0.0006731,0.0307227,0.0006103,0.0015175,0.0017168,0.0001032,0.0007916,0.0001287,0.0071369,0.0030975,0.0013451,0.0055344,0.0119708,0.0010472,0.0166876,0.0045148,0.0878058,0.0019534,0.0041500,0.0038363,0.0019560,0.0007743,0.0270738,0.0017860,0.0001069,0.2935930,0.0014661,0.0086995,0.0068209,0.0004160,0.0009770,0.0053212,0.0014945,0.0009247,0.0014559,0.0125087,0.0016618,0.0001314,0.0036757,0.0016017
9,0.0000151,0.0000021,0.0000007,0.0000015,0.0000015,0.0006845,0.0000081,0.0000014,0.0000006,0.0000062,0.0000006,0.0000017,0.0000144,0.0000068,0.0000013,0.0000001,0.0000233,0.0000067,0.0000018,0.0000022,0.0000099,0.0000050,0.0004695,0.0000296,0.0000238,0.0000037,0.0000003,0.0000010,0.0000033,0.0000014,0.0000011,0.0003567,0.0000009,0.0000008,0.0000025,0.0000008,0.0000578,0.0000786,0.0000045,0.0009290,0.0000147,0.0000021,0.0001492,0.0000008,0.0000007,0.0000122,0.0000399,0.9970169,0.0000026,0.0000000
10,0.0000338,0.0001128,0.0000432,0.0001813,0.0003173,0.0002104,0.0002896,0.0005634,0.0000215,0.0006979,0.0000725,0.0001762,0.0000195,0.0001805,0.0056818,0.0000333,0.0393724,0.0000396,0.0045562,0.0004023,0.0000811,0.0003450,0.0000623,0.0000646,0.0006320,0.0000386,0.0000773,0.0012154,0.0001421,0.0002546,0.0003092,0.0000414,0.0000273,0.0000047,0.0000444,0.0023134,0.0001598,0.0010907,0.0000184,0.6826411,0.0000752,0.0000173,0.0015066,0.0000001,0.0000771,0.0002358,0.0000185,0.0001058,0.2553459,0.0000486
11,0.0322687,0.0007735,0.0046872,0.0027842,0.0034034,0.0158097,0.0112893,0.0068293,0.0067465,0.0015036,0.0009026,0.0049446,0.0874456,0.0127395,0.0231909,0.0006103,0.0011339,0.0020444,0.0031283,0.0090059,0.0466355,0.0027918,0.0160412,0.0006402,0.0005120,0.0053486,0.0002840,0.0110642,0.0100176,0.0012775,0.0593008,0.0022144,0.0005871,0.0009274,0.0368122,0.2527274,0.0135311,0.0023122,0.0012055,0.0058213,0.0411221,0.0007931,0.0015304,0.0442071,0.0838318,0.0015491,0.0127383,0.0007456,0.0102237,0.1019654
12,0.0000033,0.0000172,0.0003408,0.0000012,0.0000266,0.0000019,0.0000040,0.0000028,0.0000041,0.0000097,0.0000053,0.0000053,0.0000084,0.0000039,0.0000035,0.0000671,0.0000035,0.0000040,0.0000254,0.0000034,0.0000014,0.0000024,0.0000007,0.0000000,0.0000111,0.0000032,0.9886164,0.0000007,0.0002139,0.0000007,0.0000581,0.0000707,0.0004401,0.0000053,0.0000066,0.0070473,0.0000505,0.0000413,0.0000034,0.0000026,0.0000156,0.0000011,0.0000004,0.0000014,0.0027896,0.0000189,0.0000255,0.0000034,0.0000248,0.0000014
13,0.0000044,0.0000004,0.0000007,0.0000090,0.0000006,0.0000079,0.0000002,0.0000286,0.0000004,0.0000053,0.0000007,0.0000019,0.0000013,0.0000030,0.0001408,0.0000001,0.0000015,0.0000056,0.0000040,0.0000018,0.0000046,0.0000011,0.0000032,0.0000000,0.0000056,0.0000015,0.0000612,0.0000007,0.0000003,0.0000002,0.0000002,0.0087037,0.0000003,0.0000007,0.0000047,0.0000004,0.0000045,0.0000070,0.0000017,0.0000002,0.0000019,0.0000012,0.0000002,0.0000094,0.9909368,0.0000095,0.0000018,0.0000039,0.0000125,0.0000028
14,0.0009777,0.0844486,0.0001639,0.0086731,0.0000439,0.0020723,0.0003791,0.0005467,0.0049466,0.0012470,0.0222277,0.0002031,0.0105175,0.0003333,0.0036344,0.0052384,0.0003300,0.0001985,0.0018266,0.0282168,0.0023382,0.0018890,0.0008551,0.0000294,0.0063011,0.0014323,0.0018148,0.0028368,0.0007654,0.0004350,0.0012455,0.0103872,0.0007025,0.0014909,0.0009939,0.0004419,0.0003080,0.0000193,0.0050261,0.0012613,0.0038267,0.0002125,0.0483867,0.0002046,0.0005077,0.0009293,0.1914523,0.0034071,0.0008180,0.5334562
15,0.0000086,0.0000123,0.0000003,0.0000017,0.0000130,0.0000064,0.0000010,0.0000039,0.0000063,0.0001450,0.0000611,0.0000184,0.0000006,0.0000096,0.9995577,0.0000004,0.0000007,0.0000001,0.0000016,0.0000001,0.0000003,0.0000002,0.0000185,0.0000001,0.0000561,0.0000001,0.0000010,0.0000167,0.0000000,0.0000017,0.0000001,0.0000001,0.0000122,0.0000025,0.0000022,0.0000048,0.0000031,0.0000169,0.0000002,0.0000027,0.0000023,0.0000011,0.0000018,0.0000001,0.0000003,0.0000004,0.0000005,0.0000025,0.0000002,0.0000030
16,0.0000009,0.0000000,0.0000706,0.0000066,0.0000046,0.0000421,0.0000010,0.0000001,0.0000004,0.0000363,0.9881988,0.0000018,0.0000005,0.0000054,0.0000077,0.0000108,0.0000003,0.0028679,0.0000657,0.0000006,0.0000379,0.0000010,0.0016141,0.0000002,0.0000004,0.0000107,0.0000004,0.0000014,0.0000072,0.0000001,0.0000212,0.0000001,0.0000123,0.0000000,0.0000016,0.0000035,0.0000005,0.0000000,0.0000435,0.0000171,0.0068761,0.0000073,0.0000006,0.0000000,0.0000015,0.0000012,0.0000038,0.0000003,0.0000124,0.0000013
17,0.0001416,0.0000469,0.0000004,0.0000106,0.0000305,0.0000116,0.0004852,0.0000616,0.0000241,0.0000544,0.0000375,0.0000396,0.0000076,0.0000160,0.0000005,0.0001511,0.0000131,0.0000012,0.0000003,0.0046292,0.0001268,0.5140795,0.0001630,0.0000412,0.0000492,0.0000177,0.4641600,0.0000169,0.0000019,0.0000020,0.0000582,0.0000013,0.0000401,0.0001033,0.0000135,0.0144072,0.0000678,0.0000578,0.0000084,0.0003867,0.0000546,0.0000366,0.0000203,0.0000231,0.0000635,0.0000333,0.0000004,0.0000571,0.0000074,0.0001386
18,0.0000001,0.0000147,0.0000000,0.0000110,0.0000002,0.0000010,0.0000000,0.0000006,0.0000005,0.0000002,0.0000000,0.9993988,0.0000000,0.0000002,0.0000009,0.0000001,0.0000002,0.0000002,0.0000066,0.0005361,0.0000032,0.0000003,0.0000001,0.0000005,0.0000001,0.0000002,0.0000004,0.0000014,0.0000005,0.0000004,0.0000001,0.0000001,0.0000001,0.0000010,0.0000002,0.0000005,0.0000002,0.0000040,0.0000001,0.0000008,0.0000001,0.0000001,0.0000013,0.0000001,0.0000063,0.0000010,0.0000001,0.0000042,0.0000009,0.0000001
19,0.0145780,0.0149889,0.0017263,0.0001144,0.0001805,0.3581569,0.0019451,0.0030087,0.0006669,0.0082683,0.0015062,0.0001515,0.0014503,0.0016996,0.0001083,0.0004717,0.0002098,0.0012598,0.0007445,0.0001547,0.0005158,0.0225671,0.0380879,0.0002884,0.0007183,0.0003352,0.0003470,0.4075801,0.0000950,0.0027455,0.0201824,0.0104331,0.0004662,0.0005698,0.0008257,0.0006420,0.0002400,0.0016924,0.0060170,0.0144897,0.0001753,0.0000820,0.0010098,0.0485024,0.0002557,0.0042602,0.0029279,0.0001053,0.0020128,0.0004397
