ID,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Class16,Class17,Class18,Class19,Class20,Class21,Class22,Class23,Class24,Class25,Class26,Class27,Class28,Class29,Class30,Class31,Class32,Class33,Class34,Class35,Class36,Class37,Class38,Class39,Class40,Class41,Class42,Class43,Class44,Class45,Class46,Class47,Class48,Class49,Class50
1,0.1590958,0.0025504,0.0039671,0.0352641,0.0000588,0.0011624,0.0023054,0.0026326,0.0087841,0.0080001,0.0011666,0.0058889,0.0011104,0.0067967,0.0015062,0.0078774,0.0003530,0.1467557,0.0011477,0.0030667,0.0000730,0.0007855,0.0790807,0.0007243,0.0002135,0.0017385,0.0001504,0.0108203,0.0016947,0.0169362,0.0019306,0.0005182,0.0056309,0.0066880,0.0006016,0.0020763,0.0040072,0.0019551,0.0046918,0.0014467,0.0603043,0.3101976,0.0155503,0.0012994,0.0005209,0.0024713,0.0049779,0.0615701,0.0017858,0.0000688
2,0.0039136,0.0018558,0.0010106,0.0100431,0.0349060,0.7234066,0.0095365,0.0018347,0.0036702,0.0032424,0.0011623,0.0001976,0.0000747,0.0076869,0.0002500,0.0016812,0.0000234,0.0038147,0.0006352,0.0013098,0.0008069,0.0038884,0.0006407,0.0006152,0.0165844,0.0005511,0.0002656,0.0005009,0.0003462,0.0067461,0.0004474,0.0015572,0.0003608,0.0003030,0.0002441,0.0010894,0.0084788,0.0012564,0.0012656,0.0021592,0.0093239,0.0000444,0.0003576,0.0006827,0.0026048,0.0005425,0.0030555,0.1240955,0.0005607,0.0003696
3,0.0011743,0.0003042,0.0000078,0.0000025,0.0000230,0.0000058,0.0000059,0.0000030,0.0000068,0.0000244,0.0000027,0.0000070,0.9966986,0.0000082,0.0000439,0.0008550,0.0000648,0.0000224,0.0000022,0.0000028,0.0000853,0.0000035,0.0000082,0.0000270,0.0000046,0.0001449,0.0000168,0.0000047,0.0000101,0.0000004,0.0001524,0.0001011,0.0000018,0.0000104,0.0000101,0.0000092,0.0000092,0.0000068,0.0000036,0.0000054,0.0000124,0.0000416,0.0000070,0.0000081,0.0000014,0.0000060,0.0000062,0.0000237,0.0000080,0.0000050
4,0.1480027,0.1901329,0.0051819,0.0013784,0.0001369,0.0001620,0.0008677,0.0130483,0.0052523,0.0021670,0.0177205,0.0019425,0.0436755,0.0010104,0.0063652,0.3315854,0.0081768,0.0054848,0.0028569,0.0050329,0.0004892,0.0035350,0.0021501,0.0503583,0.0099118,0.0029902,0.0072128,0.0066948,0.0057761,0.0063832,0.0106270,0.0000594,0.0023930,0.0082679,0.0000798,0.0200879,0.0020309,0.0036856,0.0005938,0.0007683,0.0022904,0.0031021,0.0016523,0.0062886,0.0202987,0.0006241,0.0029196,0.0220899,0.0011887,0.0052694
5,0.0018649,0.0202877,0.0042480,0.0956719,0.0027741,0.0006424,0.0000053,0.0107789,0.0026629,0.0008930,0.0009835,0.0054984,0.0025766,0.0013373,0.0010955,0.0011226,0.0014133,0.0376479,0.0060721,0.0083720,0.0005958,0.0007479,0.0022548,0.0002734,0.0162347,0.0022835,0.0087644,0.0084185,0.0000449,0.0015069,0.0081080,0.0005218,0.4416101,0.0059973,0.0001533,0.0036954,0.0009196,0.0135287,0.0025802,0.0004376,0.1940182,0.0021810,0.0010647,0.0020179,0.0129902,0.0055002,0.0017441,0.0302955,0.0195446,0.0060183
6,0.0000003,0.0000006,0.0000053,0.0000053,0.0000041,0.0000021,0.0000002,0.0000010,0.0000003,0.0000003,0.0000032,0.0000133,0.0000005,0.0000027,0.0000013,0.0000004,0.0000033,0.0000316,0.0000088,0.0000007,0.0000002,0.0000001,0.9996672,0.0000044,0.0000000,0.0000017,0.0000014,0.0000019,0.0000043,0.0000008,0.0000007,0.0000544,0.0000002,0.0000039,0.0000017,0.0000017,0.0000573,0.0000056,0.0000077,0.0000009,0.0000021,0.0000027,0.0000006,0.0000013,0.0000012,0.0000016,0.0000017,0.0000013,0.0000857,0.0000005
7,0.1275624,0.0002421,0.0003803,0.0002477,0.0006921,0.0003099,0.0116904,0.0012950,0.0004229,0.0004145,0.0012554,0.0025577,0.0024902,0.0002720,0.0006503,0.0009414,0.0033644,0.0013065,0.0001985,0.0004431,0.0016733,0.0024586,0.0002535,0.0004395,0.0004605,0.0074141,0.0004049,0.0022108,0.7975210,0.0039663,0.0023879,0.0006834,0.0008272,0.0006249,0.0001736,0.0001816,0.0035535,0.0001326,0.0001650,0.0024029,0.0001543,0.0001122,0.0007543,0.0002941,0.0002635,0.0018173,0.0011160,0.0005756,0.0000932,0.0101473
8,0.0021098,0.0213147,0.5657548,0.0665408,0.1088476,0.0004808,0.0007589,0.0018668,0.0007595,0.0000658,0.0029820,0.0223921,0.0006997,0.0002847,0.0007071,0.0006530,0.0022182,0.0000856,0.0060570,0.0030307,0.0008070,0.0035913,0.0445288,0.0030323,0.0008923,0.0022197,0.0152340,0.0008450,0.0035465,0.0012601,0.0036344,0.0001312,0.0185371,0.0017798,0.0005075,0.0350841,0.0040168,0.0033584,0.0091217,0.0013322,0.0101367,0.0041715,0.0030164,0.0004982,0.0017709,0.0108977,0.0015148,0.0004839,0.0048771,0.0015629
9,0.0001309,0.0000074,0.0000081,0.0000022,0.0000135,0.0019516,0.0000822,0.0000068,0.0000055,0.0000284,0.0000021,0.0000045,0.0001072,0.0000315,0.0000113,0.0000096,0.0000011,0.0000151,0.0000042,0.0000070,0.0000435,0.0000407,0.0010580,0.0000690,0.0000038,0.0000110,0.0000011,0.0000080,0.0000103,0.0000080,0.0000212,0.0026558,0.0000023,0.0000050,0.0000410,0.0000001,0.0001755,0.0002449,0.0000220,0.0001795,0.0000180,0.0000043,0.0008509,0.0000086,0.0000024,0.0000905,0.0000517,0.9919328,0.0000091,0.0000003
10,0.0001477,0.0003696,0.0004923,0.0006181,0.0006969,0.0002808,0.0012165,0.0012310,0.0013779,0.0003893,0.0001639,0.0003708,0.0014537,0.0007983,0.0037493,0.0000841,0.1159132,0.0004626,0.0149957,0.0003946,0.0000668,0.0001157,0.0002657,0.0002428,0.0001680,0.0000442,0.0010827,0.0051853,0.0005717,0.0008196,0.0002692,0.0006751,0.0002054,0.0001155,0.0001494,0.0006439,0.0003053,0.0003302,0.0001372,0.0994649,0.0015761,0.0001557,0.0151279,0.0012853,0.0005315,0.0002549,0.0002158,0.0003987,0.7242783,0.0001109
