ID,Count
1,5
2,37
3,24
4,33
5,23
6,16
7,27
8,4
9,4
10,29
11,23
12,10
13,14
14,24
15,36
16,12
17,10
18,6
19,19
20,28
21,7
22,32
23,23
24,18
25,20
26,11
27,23
28,20
29,9
30,2
31,20
32,36
33,5
34,23
35,23
36,22
37,15
38,13
39,31
40,17
41,29
42,12
43,31
44,10
45,9
46,31
47,23
48,27
49,14
50,5
51,13
52,18
53,21
54,12
55,23
56,41
57,25
58,24
59,5
60,19
61,21
62,15
63,17
64,20
65,27
66,15
67,22
68,20
69,28
70,28
71,11
72,10
73,21
74,25
75,3
76,23
77,14
78,27
79,13
80,24
81,11
82,13
83,20
84,12
85,33
86,16
87,24
88,24
89,6
90,1
91,17
92,22
93,30
94,18
95,32
96,25
97,30
98,28
99,27
100,7
101,5
102,18
103,17
104,38
105,25
106,17
107,28
108,20
109,46
110,23
111,28
112,11
113,43
114,23
115,23
116,49
117,24
118,29
119,19
120,11
121,18
122,15
123,11
124,33
125,14
126,15
127,28
128,12
129,9
130,19
131,26
132,14
133,17
134,31
135,17
136,24
137,28
138,6
139,3
140,4
141,13
142,25
143,18
144,6
145,11
146,15
147,29
148,25
149,24
150,19
151,7
152,22
153,17
154,14
155,15
156,18
157,17
158,23
159,10
160,25
161,27
162,17
163,20
164,21
165,14
166,11
167,7
168,7
169,17
170,11
171,7
172,15
173,13
174,14
175,20
176,16
177,16
178,23
179,7
180,10
181,21
182,20
183,30
184,28
185,6
186,17
187,21
188,11
189,19
190,21
191,38
192,10
193,30
194,14
195,36
196,44
197,56
198,52
199,9
200,20
201,5
202,32
203,25
204,12
205,31
206,10
207,25
208,27
209,22
210,21
211,19
212,19
213,26
214,33
215,35
216,24
217,11
218,31
219,11
220,27
221,38
222,19
223,31
224,12
225,9
226,34
227,26
228,25
229,20
230,10
231,15
232,38
233,4
234,26
235,16
236,9
237,6
238,24
239,5
240,28
241,51
242,3
243,8
244,18
245,14
246,12
247,40
248,26
249,22
250,27
251,24
252,24
253,25
254,15
255,32
256,31
257,25
258,31
259,15
260,12
261,11
262,12
263,25
264,12
265,21
266,23
267,46
268,12
269,35
270,45
271,18
272,30
273,6
274,32
275,26
276,25
277,14
278,26
279,14
280,19
281,10
282,36
283,27
284,21
285,19
286,10
287,20
288,19
289,7
290,19
291,38
292,39
293,31
294,15
295,25
296,28
297,20
298,23
299,18
300,17
301,19
302,17
303,34
304,29
305,5
306,6
307,16
308,17
309,20
310,17
311,3
312,2
313,20
314,9
315,17
316,38
317,33
318,12
319,46
320,19
321,15
322,21
323,15
324,23
325,4
326,7
327,18
328,18
329,18
330,20
331,18
332,34
333,7
334,23
335,23
336,5
337,26
338,15
339,18
340,26
341,9
342,8
343,7
344,13
345,20
346,26
347,30
348,53
349,21
350,37
351,27
352,23
353,28
354,26
355,25
356,35
357,12
358,14
359,25
360,24
361,34
362,24
363,21
364,31
365,20
366,18
367,20
368,35
369,16
370,32
371,17
372,18
373,19
374,17
375,29
376,21
377,24
378,11
379,13
380,21
381,14
382,21
383,23
384,27
385,43
386,26
387,20
388,5
389,32
390,22
391,25
392,18
393,26
394,16
395,18
