ID,Count
1,5
2,32
3,25
4,30
5,24
6,20
7,17
8,5
9,5
10,26
11,22
12,10
13,12
14,26
15,32
16,11
17,11
18,7
19,17
20,25
21,7
22,32
23,23
24,18
25,15
26,12
27,25
28,20
29,8
30,3
31,19
32,41
33,5
34,20
35,22
36,21
37,18
38,14
39,29
40,18
41,27
42,10
43,34
44,10
45,7
46,33
47,24
48,27
49,14
50,4
51,12
52,18
53,23
54,14
55,19
56,40
57,22
58,25
59,4
60,20
61,18
62,16
63,16
64,24
65,25
66,14
67,21
68,21
69,32
70,29
71,11
72,12
73,19
74,22
75,4
76,24
77,16
78,27
79,13
80,27
81,12
82,16
83,14
84,11
85,31
86,20
87,24
88,24
89,6
90,2
91,18
92,21
93,29
94,19
95,29
96,26
97,30
98,29
99,25
100,7
101,4
102,23
103,17
104,37
105,24
106,18
107,26
108,22
109,49
110,24
111,24
112,11
113,40
114,23
115,25
116,46
117,25
118,30
119,21
120,12
121,19
122,15
123,18
124,32
125,15
126,17
127,30
128,13
129,9
130,15
131,28
132,17
133,16
134,30
135,17
136,27
137,26
138,6
139,4
140,5
141,14
142,23
143,20
144,7
145,11
146,15
147,28
148,23
149,23
150,18
151,8
152,23
153,17
154,13
155,17
156,17
157,20
158,20
159,10
160,22
161,24
162,18
163,20
164,22
165,16
166,12
167,8
168,7
169,17
170,13
171,8
172,13
173,14
174,17
175,15
176,19
177,15
178,26
179,10
180,9
181,21
182,16
183,35
184,29
185,7
186,17
187,19
188,9
189,19
190,21
191,32
192,10
193,32
194,14
195,34
196,39
197,52
198,51
199,9
200,20
201,5
202,28
203,23
204,15
205,25
206,12
207,26
208,26
209,19
210,23
211,17
212,17
213,28
214,33
215,32
216,21
217,12
218,31
219,9
220,28
221,38
222,19
223,30
224,12
225,6
226,34
227,23
228,22
229,20
230,11
231,16
232,40
233,4
234,23
235,17
236,9
237,7
238,23
239,6
240,29
241,53
242,4
243,10
244,17
245,11
246,13
247,42
248,26
