ID,Count
1,4
2,35
3,27
4,32
5,23
6,15
7,24
8,4
9,4
10,29
11,20
12,14
13,14
14,25
15,35
16,12
17,10
18,6
19,19
20,27
21,7
22,32
23,24
24,18
25,19
26,11
27,23
28,21
29,9
30,2
31,20
32,37
33,5
34,22
35,22
36,18
37,14
38,12
39,31
40,18
41,29
42,13
43,32
44,10
45,7
46,32
47,26
48,27
49,14
50,5
51,11
52,17
53,20
54,13
55,21
56,42
57,26
58,23
59,6
60,21
61,19
62,16
63,19
64,20
65,27
66,14
67,23
68,22
69,28
70,30
71,11
72,11
73,20
74,25
75,3
76,23
77,15
78,28
79,14
80,25
81,11
82,13
83,20
84,12
85,32
86,18
87,25
88,22
89,5
90,1
91,16
92,24
93,31
94,17
95,29
96,24
97,30
98,30
99,28
100,7
101,5
102,20
103,15
104,39
105,25
106,19
107,29
108,21
109,48
110,21
111,27
112,10
113,41
114,22
115,23
116,45
117,26
118,29
119,21
120,15
121,18
122,17
123,11
124,33
125,14
126,14
127,27
128,12
129,9
130,18
131,25
132,14
133,17
134,30
135,16
136,25
137,27
138,6
139,3
140,4
141,11
142,26
143,19
144,6
145,12
146,15
147,29
148,26
149,25
150,20
151,8
152,22
153,17
154,15
155,14
156,17
157,19
158,21
159,10
160,25
161,27
162,16
163,19
164,20
165,14
166,9
167,7
168,7
169,17
170,11
171,7
172,18
173,14
174,14
175,21
176,19
177,16
178,22
179,7
180,10
181,21
182,18
183,34
184,27
185,7
186,17
187,21
188,11
189,18
190,21
191,35
192,12
193,30
194,15
195,36
196,39
197,54
198,52
199,8
200,21
201,7
202,31
203,23
204,12
205,27
206,10
207,24
208,29
209,21
210,21
211,22
212,22
213,26
214,31
215,33
216,23
217,11
218,31
219,10
220,29
221,40
222,19
223,31
224,12
225,6
226,33
227,25
228,24
229,20
230,10
231,15
232,34
233,3
234,26
235,17
236,8
237,7
238,26
239,5
240,27
241,51
242,3
243,8
244,17
245,13
246,10
247,38
248,25
249,23
250,27
251,25
252,24
253,26
254,15
255,30
256,31
257,24
258,30
259,14
260,12
261,11
262,9
263,25
264,13
265,20
266,22
267,47
268,12
269,35
270,42
271,18
272,29
273,6
274,32
275,25
276,22
277,15
278,27
279,15
280,17
281,10
282,36
283,27
284,21
285,18
286,10
287,19
288,18
289,8
290,19
291,34
292,40
293,28
294,15
295,27
296,27
297,18
298,24
299,19
300,15
301,16
302,15
303,31
304,28
305,5
306,6
307,16
308,15
309,21
310,18
311,2
312,2
313,17
314,10
315,16
316,37
317,28
318,11
319,47
320,19
321,16
322,21
323,14
324,24
325,4
326,6
327,17
328,18
329,16
330,20
331,19
332,38
333,6
334,19
335,21
336,5
337,21
338,13
339,15
340,24
341,8
342,9
343,8
344,13
345,20
346,26
347,29
348,52
349,17
350,39
351,27
352,24
353,31
354,27
355,24
356,35
357,12
358,14
359,26
360,26
361,33
362,24
363,20
364,31
365,21
366,19
367,20
368,33
369,16
370,31
371,18
372,18
373,17
374,16
375,29
376,21
377,23
378,11
379,14
380,20
381,13
382,21
383,24
384,25
385,43
386,25
387,21
388,5
389,32
390,21
391,24
392,18
393,27
394,16
395,18
396,26
397,18
398,28
399,22
400,23
401,33
402,22
403,30
404,11
405,21
406,17
407,23
408,32
409,12
410,29
411,11
412,14
413,8
414,15
415,24
416,16
417,41
418,32
419,38
420,22
421,18
422,29
423,21
424,16
425,16
426,13
427,22
428,12
429,15
430,29
431,37
432,6
433,19
434,11
435,22
436,19
437,25
438,28
439,23
440,17
441,38
442,25
443,13
444,19
445,5
446,8
447,14
448,21
449,34
450,24
451,17
452,15
453,5
454,8
455,10
456,44
457,10
458,13
459,19
460,18
461,20
462,17
463,25
464,14
465,28
466,16
467,6
468,12
469,20
470,21
471,19
472,19
473,8
474,21
475,21
476,18
477,32
478,25
479,48
480,17
481,8
482,12
483,18
484,3
485,30
486,14
487,9
488,12
489,31
490,28
491,25
492,15
493,8
494,25
495,10
496,18
497,13
498,14
499,7
500,14
501,3
502,18
503,5
504,29
505,23
506,8
507,14
508,26
509,11
510,17
511,23
512,14
513,16
514,29
515,13
516,14
517,4
518,27
519,10
520,17
521,16
522,22
523,35
524,41
525,48
526,18
527,24
528,31
529,36
530,11
531,21
532,15
533,15
534,19
535,31
536,25
537,18
538,34
539,24
540,13
541,20
542,22
543,17
544,38
545,26
546,18
547,24
548,26
549,16
550,34
551,38
552,44
553,22
554,34
555,16
556,14
557,16
558,19
559,4
560,35
561,32
562,7
563,31
564,43
565,39
566,18
567,16
568,11
569,12
570,12
571,11
572,18
573,14
574,29
575,29
576,19
577,31
578,7
579,10
580,39
581,16
582,27
583,23
584,15
585,16
586,31
587,25
588,20
589,36
590,11
591,50
592,15
593,12
594,31
595,19
596,8
597,19
598,27
599,21
600,28
601,36
602,11
603,23
604,15
605,20
606,17
607,14
608,35
609,0
610,24
611,23
612,15
613,24
614,17
615,19
616,17
617,13
618,23
619,34
620,23
621,31
622,21
623,31
624,27
625,35
626,7
627,43
628,12
629,29
630,23
631,23
632,29
633,31
634,32
635,31
636,8
637,21
638,21
639,39
640,12
641,25
642,14
643,23
644,1
645,1
646,25
647,14
648,0
649,17
650,14
651,1
652,28
653,17
654,33
655,3
656,15
657,28
658,11
659,16
660,26
661,29
662,9
663,30
664,15
665,21
666,19
667,25
668,9
669,24
670,15
671,32
672,33
673,14
674,17
675,23
676,21
677,17
678,22
679,15
680,27
681,21
682,10
683,19
684,22
685,22
686,27
687,17
688,28
689,24
690,22
691,25
692,45
693,19
694,24
695,19
696,33
697,2
