ID,Count
1,4
2,36
3,26
4,30
5,22
6,16
7,20
8,4
9,4
10,29
11,24
12,12
13,14
14,24
15,36
16,13
17,10
18,6
19,21
20,30
21,8
22,34
23,22
24,16
25,19
26,11
27,28
28,20
29,9
30,2
31,18
32,39
33,4
34,18
35,22
36,22
37,14
38,13
39,32
40,16
41,31
42,12
43,32
44,10
45,8
46,30
47,24
48,25
49,13
50,4
51,14
52,13
53,21
54,12
55,23
56,37
57,25
58,25
59,6
60,19
61,19
62,16
63,14
64,21
65,28
66,15
67,21
68,21
69,28
70,31
71,9
72,11
73,21
74,25
75,4
76,25
77,13
78,25
79,13
80,27
81,11
82,14
83,17
84,12
85,35
86,19
87,22
88,21
89,5
90,1
91,17
92,23
93,31
94,17
95,29
96,25
97,30
98,30
99,27
100,9
101,5
102,21
103,15
104,36
105,23
106,18
107,25
108,20
109,47
110,24
111,26
112,11
113,41
114,24
115,24
116,48
117,24
118,27
119,19
120,12
121,19
122,16
123,12
124,31
125,13
126,13
127,29
128,12
129,9
130,15
131,29
132,16
133,14
134,32
135,18
136,26
137,26
138,5
139,3
140,5
141,13
142,25
143,20
144,6
145,11
146,14
147,29
148,24
149,25
150,18
151,8
152,24
153,17
154,13
155,14
156,18
157,19
158,20
159,10
160,27
161,25
162,19
163,19
164,21
165,15
166,10
167,7
168,8
169,17
170,12
171,8
172,16
173,12
174,14
175,20
176,18
177,16
178,31
179,10
180,9
181,18
182,21
183,33
184,26
185,6
186,17
187,18
188,10
189,18
190,20
191,34
192,8
193,29
194,16
195,37
196,43
197,54
198,54
199,9
200,20
201,6
202,32
203,23
204,13
205,28
206,9
207,25
208,24
209,21
210,22
211,18
212,21
213,27
214,33
215,32
216,24
217,12
218,28
219,10
220,26
221,40
222,20
223,30
224,14
225,7
226,33
227,25
228,23
229,18
230,7
231,17
232,39
233,3
234,27
235,16
236,9
237,7
238,23
239,5
240,33
241,52
242,3
243,8
244,16
245,12
246,10
247,40
248,27
249,27
250,26
251,27
252,27
253,25
254,19
255,30
256,31
257,24
258,31
259,17
260,12
261,9
262,12
263,26
264,11
265,20
266,21
267,46
268,12
269,34
270,37
271,19
272,30
273,5
274,30
275,25
276,23
277,15
278,26
279,15
280,16
281,9
282,36
283,27
284,21
285,20
286,8
287,19
288,15
289,8
290,21
291,34
292,41
293,28
294,16
295,25
296,27
297,19
298,24
299,17
300,16
301,16
302,13
303,30
304,28
305,6
306,6
307,12
308,15
309,18
310,15
311,2
312,2
313,17
314,10
315,15
316,38
317,27
318,13
319,43
320,15
321,15
322,21
323,11
324,21
325,4
326,7
327,13
328,18
329,17
330,21
331,16
332,34
333,6
334,16
335,22
336,6
337,22
338,13
339,12
340,24
341,9
342,8
343,5
344,13
345,20
346,25
347,29
348,47
349,14
350,36
351,25
352,23
353,28
354,24
355,24
356,32
357,12
358,16
359,29
360,25
361,32
362,23
363,23
364,33
365,20
366,18
367,22
368,33
369,18
370,33
371,14
372,17
373,18
374,18
375,26
376,22
377,22
378,11
379,14
380,19
381,14
382,23
383,23
384,27
385,44
386,24
387,22
388,5
389,29
390,20
391,27
392,17
393,26
394,15
395,19
396,27
397,20
398,26
399,23
400,25
401,32
402,20
403,25
404,13
405,20
406,16
407,21
408,30
409,12
410,26
411,10
412,14
413,6
414,14
415,23
416,14
417,33
418,31
419,30
420,20
421,19
422,26
423,19
424,15
425,15
426,12
427,21
428,12
429,14
430,26
431,36
432,8
433,13
434,10
435,23
436,20
437,24
438,25
439,19
440,17
441,42
442,26
443,12
444,21
445,7
446,6
447,19
448,20
449,36
450,24
451,20
452,14
453,5
454,6
455,10
456,45
457,10
458,14
459,19
460,15
461,18
462,16
463,25
464,14
465,26
466,15
467,6
468,14
469,21
470,24
471,18
472,18
473,8
474,21
475,21
476,18
477,32
478,25
479,48
480,16
481,8
482,13
483,16
484,3
485,27
486,14
487,9
488,12
489,31
490,29
491,28
492,14
493,8
494,23
495,11
496,20
497,11
498,15
499,9
500,18
501,3
502,17
503,7
504,27
505,21
506,10
507,13
508,29
509,13
510,18
511,22
512,16
513,16
514,27
515,12
516,13
517,3
518,25
519,10
520,16
521,16
522,21
523,35
524,40
525,47
526,20
527,30
528,32
529,42
530,11
531,22
532,14
533,15
534,18
535,29
536,25
537,20
538,36
539,26
540,16
541,19
542,20
543,19
544,41
545,24
546,16
547,22
548,27
549,17
550,33
551,34
552,43
553,24
554,32
555,15
556,14
557,17
558,17
559,4
560,34
561,30
562,7
563,26
564,45
565,39
566,19
567,15
568,11
569,12
570,13
571,10
572,20
573,13
574,28
575,26
576,17
577,31
578,10
579,10
580,37
581,15
582,27
583,22
584,15
585,19
586,29
587,26
588,20
589,38
590,11
591,47
592,16
593,13
594,37
595,18
596,7
597,21
598,29
599,20
600,31
601,35
602,12
603,22
604,15
605,22
606,21
607,16
608,38
609,0
610,29
611,22
612,16
613,23
614,16
615,17
616,18
617,13
618,22
619,33
620,22
621,23
622,21
623,28
624,27
625,36
626,10
627,38
628,13
629,28
630,19
631,20
632,27
633,31
634,33
635,33
636,8
637,18
638,21
639,35
640,11
641,22
642,15
643,24
644,1
645,1
646,25
647,13
648,0
649,16
650,16
651,2
652,25
653,15
654,36
655,1
656,14
657,24
658,11
659,17
660,27
661,28
662,9
663,29
664,15
665,21
666,19
667,26
668,9
669,23
670,16
671,30
672,31
673,14
674,16
675,23
676,19
677,17
678,20
679,15
680,25
681,22
682,10
683,21
684,21
685,21
686,28
687,15
688,27
689,24
690,23
691,27
692,46
693,23
694,25
695,16
696,33
697,5
698,32
699,21
700,28
701,29
702,41
703,27
704,11
705,14
706,19
707,15
708,11
709,18
710,10
711,9
712,33
713,24
714,27
715,32
716,22
717,31
718,24
719,34
720,32
721,31
722,15
723,16
724,38
725,25
726,34
727,41
728,28
729,23
730,24
731,23
732,19
733,27
734,28
735,18
736,30
737,30
738,39
739,20
740,23
741,14
742,25
743,19
744,31
745,18
746,13
747,18
748,33
749,41
750,15
751,27
752,22
753,9
754,14
755,28
756,28
757,12
758,21
759,15
760,5
761,42
762,24
763,30
764,12
765,32
766,13
767,20
768,18
769,31
770,25
771,10
772,31
773,35
774,19
775,8
776,36
777,23
778,5
779,10
780,18
781,32
782,29
783,33
784,9
785,8
786,31
787,29
788,36
789,27
790,40
791,18
792,22
793,33
794,44
795,23
796,13
797,14
798,25
799,14
800,10
801,13
802,4
803,33
804,25
805,19
806,18
807,19
808,49
809,11
810,3
811,38
812,28
813,34
814,21
815,26
816,21
817,9
818,13
819,6
820,33
821,12
822,25
823,36
824,5
825,35
826,21
827,13
828,15
829,17
830,25
831,21
832,22
833,13
834,10
835,14
836,9
837,20
838,23
839,37
840,13
841,36
842,11
843,34
844,42
845,28
846,23
847,12
848,30
849,18
850,24
851,29
852,10
853,6
854,29
855,18
856,16
857,17
858,14
859,48
860,5
861,26
862,22
863,20
864,21
865,21
866,16
867,18
868,31
869,4
870,38
871,43
872,11
873,3
874,39
875,29
876,11
877,26
878,25
879,40
880,12
881,30
882,22
883,17
884,32
885,27
886,11
887,20
888,22
889,45
890,29
891,12
892,31
893,34
894,4
895,6
896,25
897,43
898,12
899,25
900,22
901,18
902,39
903,28
904,36
905,60
906,25
907,17
908,33
909,18
910,13
911,6
912,10
913,8
914,7
915,23
916,27
917,9
918,20
919,18
920,11
921,24
922,21
923,12
924,24
925,16
926,27
927,24
928,23
929,33
930,11
931,13
932,23
933,24
934,21
935,21
936,13
937,13
938,7
939,22
940,9
941,7
942,16
943,3
944,11
945,5
946,12
947,15
948,26
949,22
950,21
951,24
952,22
953,13
954,22
955,30
956,20
957,21
958,35
959,17
960,18
961,24
962,24
963,28
964,35
965,22
966,17
967,14
968,21
969,15
970,14
971,27
972,22
973,8
974,15
975,32
976,43
977,29
978,37
979,25
980,38
981,24
982,12
983,11
984,20
985,15
986,23
987,21
988,14
989,11
990,23
991,28
992,16
993,35
994,10
995,15
996,17
997,29
998,17
999,13
1000,22
1001,20
1002,15
1003,17
1004,28
1005,16
1006,20
1007,11
1008,13
1009,12
1010,29
1011,45
1012,27
1013,14
1014,36
1015,58
1016,32
1017,26
1018,31
1019,37
1020,26
1021,18
1022,12
1023,9
1024,6
1025,19
1026,23
1027,7
1028,24
1029,24
1030,10
1031,22
1032,10
1033,18
1034,33
1035,10
1036,33
1037,17
1038,22
1039,5
1040,25
1041,20
1042,12
1043,9
1044,12
1045,34
1046,25
1047,5
1048,26
1049,28
1050,27
1051,34
1052,15
1053,15
1054,15
1055,38
1056,6
1057,16
1058,22
1059,15
1060,19
1061,28
1062,19
1063,7
1064,30
1065,16
1066,24
1067,9
1068,9
1069,24
1070,22
1071,6
1072,17
1073,27
1074,25
1075,14
1076,13
1077,24
1078,28
1079,6
1080,33
1081,17
1082,17
1083,22
1084,22
1085,31
1086,27
1087,18
1088,23
1089,13
1090,11
1091,15
1092,8
1093,36
1094,37
1095,26
1096,23
1097,7
1098,12
1099,17
1100,15
1101,2
1102,27
1103,44
1104,20
1105,21
1106,25
1107,37
1108,12
1109,10
1110,13
1111,7
1112,26
1113,38
1114,19
1115,31
1116,32
1117,45
1118,6
1119,37
1120,16
1121,24
1122,38
1123,21
1124,16
1125,31
1126,17
1127,11
1128,18
1129,25
1130,5
1131,11
1132,30
1133,9
1134,30
1135,18
1136,7
1137,10
1138,45
1139,11
1140,28
1141,12
1142,19
1143,16
1144,21
1145,17
1146,21
1147,28
1148,24
1149,3
1150,17
1151,22
1152,30
1153,24
1154,21
1155,30
1156,14
1157,8
1158,27
1159,14
1160,14
1161,7
1162,23
1163,26
1164,26
1165,14
1166,25
1167,23
1168,21
1169,34
1170,8
1171,20
1172,24
1173,45
1174,17
1175,21
1176,34
1177,34
1178,32
1179,36
1180,34
1181,35
1182,20
1183,39
1184,17
1185,41
1186,26
1187,13
1188,7
1189,19
1190,25
1191,15
1192,19
1193,26
1194,25
1195,21
1196,28
1197,25
1198,15
